Есть в dict, нет в html

Нету слова 单叶松 | ['dānyèsōng', '[ref]单叶果松[/ref]']
Нету слова 彤号木属 | ['tónghàomù shǔ', 'род эизия [i](лат. Eizia)[/i]']
Нету слова 披针叶桐梅 | ['_', 'Kageneckia lanceolata']
Нету слова 歧毛茶属 | ['qímáochá shǔ', 'род тинадендрон [i](лат. Tinadendron)[/i]']
Нету слова 瞳丽木属 | ['_', 'род Tulearia']
Нету слова 童花豆 | ['_', 'Collaea argentina']
Нету слова 加勒比铜绶草 | ['_', 'Mesadenus lucayanus']
Нету слова 火之性 | ['huǒzhīxìng', 'природа огня']
Нету слова 和平利用宇宙空间 | ['hépíng lìyòng yǔzhòu kōngjiān', 'использование космического пространства в мирных целях']
Нету слова 四颜 | ['sìyán', 'четыре лика']
Нету слова 紫水鸡属 | ['zǐshuǐ shǔ', 'султанки ([i]Porphyrio', 'род птиц[/i])']
Нету слова 金背铜铁木 | ['_', 'Cotylelobium burckii']
Нету слова 铜铁木 | ['_', 'Cotylelobium melanoxylon']
Нету слова 铜星蕨 | ['_', 'Hemionitis palmata']
Нету слова 筒萼苔属 | ['tǒng’ètái shǔ', 'род цилиндроколея [i](лат. Cylindrocolea)[/i]']
Нету слова 筒冠花属 | ['tǒngguānhuā shǔ', 'род сифокранион [i](лат. Siphocranion)[/i]']
Нету слова 光柄筒冠花 | ['_', 'Siphocranion nudipes']
Нету слова 头妇草属 | ['_', 'род Xiphodesma']
Нету слова 马岛头花山柚 | ['_', 'Pentarhopalopilia madagascariensis']
Нету слова 头花山柚 | ['_', 'Pentarhopalopilia umbellulata']
Нету слова 金佛山兰 | ['_', 'Cephalanthera nanchuanica']
Нету слова 红花头蕊兰 | ['hónghuā tóuruǐlán', 'пыльцеголовник красный [i](лат. Cephalanthera rubra)[/i]']
Нету слова 近无叶头蕊兰 | ['_', 'Cephalanthera subaphylla']
Нету слова 云南头蕊兰 | ['_', 'Cephalanthera yuennanensis']
Нету слова 凸轴蕨属 | ['tūzhóujué shǔ', 'род метателиптерис [i](лат. Metathelypteris)[/i]']
Нету слова 三角叶凸轴蕨 | ['_', 'Metathelypteris deltoideofrons']
Нету слова 凸轴蕨 | ['_', 'Metathelypteris gracilescens']
Нету слова 有柄凸轴蕨 | ['_', 'Metathelypteris petiolulata']
Нету слова 西藏凸轴蕨 | ['_', 'Metathelypteris uraiensis var. tibetica']
Нету слова 秃发菊属 | ['_', 'род Piptocoma']
Нету слова 单秃发菊 | ['_', 'Piptocoma acuminata']
Нету слова 秃发菊 | ['_', 'Piptocoma rufescens']
Нету слова 秃穗霉草 | ['_', 'Kihansia lovettii']
Нету слова 短托苔属 | ['duǎntuōtái shǔ', '[ref]突苞苔属[/ref]']
Нету слова 突苞苔 | ['_', 'Exormotheca pustulosa']
Нету слова 狭叶突果苋 | ['xiáyè tūguǒxiàn', 'кифокарпа узколистная [i](лат. Kyphocarpa angustifolia)[/i]']
Нету слова 突蒴藓属 | ['tūshuòxiǎn shǔ', 'род экзертотека [i](лат. Exsertotheca)[/i]']
Нету слова 徒果草属 | ['túguǒcǎo shǔ', 'род бесшипник [i](лат. Anoplocaryum)[/i]']
Нету слова 细弱徒果草 | ['_', 'Anoplocaryum tenellum']
Нету слова 银绒土木香 | ['yínróng tǔmùxiāng', 'девясил белоснежный [i](лат. Inula candida subsp. candida)[/i]']
Нету слова 高山土木香 | ['_', 'Inula mannii']
Нету слова 糙毛旋覆花 | ['cāomáo xuánfùhuā', 'девясил шероховатый [i](лат. Inula aspera)[/i]']
Нету слова 里海旋覆花 | ['lǐhǎi xuánfùhuā', 'девясил каспийский [i](лат. Inula caspica)[/i]']
---------------------
Итого не найдено: 37524
(.venv) PS C:\Users\dns80\Рабочий стол\учёба\4 курс\7 семестр\devOps\ci-cd> diff
